Town master list,,,,,,,,,
Towns in Tasmania,,,,,,,,,
Name,Postcode,RTO,LGA,Secondary LGA,Launceston and north,Hobart and south,East coast,West coast,North west
Glengarry,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Glenlusk,7012,DST,Glenorchy Council,Derwent Valley Council,,Yes - featured,,,
Glenora,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Glenorchy,7010,DST,Glenorchy Council,N/A,,Yes - featured,,,
Golconda,7254,VNT,Dorset Council,N/A,Yes - featured,,,,
Golden Valley,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Goodwood,7010,DST,Glenorchy Council,N/A,,Yes - featured,,,
Gordon,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Gormanston,7466,WxNW,West Coast Council,N/A,,,,Yes - featured,
Goshen,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Goulds Country,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Gowrie Park,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Granton,7030,DST,Derwent Valley Council,Glenorchy Council,,Yes - featured,,,
Granville Harbour,7469,WxNW,West Coast Council,N/A,,,,Yes - featured,
Grasstree Hill,7017,DST,Clarence City Council,N/A,,Yes - featured,,,
Grassy,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Gravelly Beach,7276,VNT,West Tamar Council,N/A,Yes - featured,,,,
Gray,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Great Bay,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Greens Beach,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Gretna,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Grindelwald,7277,VNT,West Tamar Council,N/A,Yes - featured,,,,
Grove,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Guildford,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Gunns Plains,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Hadspen,7290,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Hagley,7292,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Hamilton,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Hampshire,7321,WxNW,Burnie Council,Waratah-Wynyard Council,,,,,Yes - featured
Harford,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Hastings,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Havenview,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Hawley Beach,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Hayes,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Hellyer,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Henrietta,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Herdsmans Cove,7030,DST,Brighton Council,N/A,,Yes - featured,,,
Hermitage,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Herrick,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Heybridge,7316,WxNW,Central Coast Council,Burnie Council,,,,,Yes - featured
Highclere,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Highcroft,7183,DST,Tasman Council,N/A,,Yes - featured,,,
Hillcrest,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Hillwood,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Hobart,7000,DST,Hobart City Council,N/A,,Yes - featured,,,
Hollow Tree,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Holwell,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Honeywood,7017,DST,Brighton Council,N/A,,Yes - featured,,,
Howden,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Howrah,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Howth,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Huntingfield,7055,DST,Kingborough Council,N/A,,Yes - featured,,,
Huonville,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Ida Bay,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Interlaken,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Invermay,7248,VNT,Launceston City Council,N/A,Yes - featured,,,,
Irishtown,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Jackeys Marsh,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Jericho,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Jetsonville,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Judbury,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Kamona,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Kaoota,7150,DST,Kingborough Council,Huon Valley Council,,Yes - featured,,,
Karanja,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Karoola,7267,VNT,Launceston City Council,N/A,Yes - featured,,,,
Kayena,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Kellevie,7176,DST,Sorell Council,N/A,,Yes - featured,,,
Kelso,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Kempton,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Kettering,7155,DST,Kingborough Council,N/A,,Yes - featured,,,
Killiecrankie,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Killora,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Kimberley,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Kindred,7310,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Kings Meadows,7249,VNT,Launceston City Council,N/A,Yes - featured,,,,
Kingston,7050,DST,Kingborough Council,N/A,,Yes - featured,,,
Kingston Beach,7050,DST,Kingborough Council,N/A,,Yes - featured,,,
